연번,호선,역명,호기,승강기번호,설치위치,운행구간
0,1,서울역,내부#1,0074-205,"시청 방면5-1, B2-B1",B2-B1
1,1,서울역,외부#1,0104-656,"2번 출구 측, B1-1F",B1-1F
2,1,서울역,외부#2,0105-867,"4번 출구 측, B1-1F",B1-1F
3,1,서울역,외부#3,0073-979,"3번 출구 측, B1-1F",B1-1F
4,1,시청,내부#1,0002-888,"종각 방면3-2, B2-B1",B2-B1
5,1,시청,내부#2,0002-887,"서울역 방면8-3, B2-B1",B2-B1
6,1,시청,외부#1,0002-889,"1,2번 출구 사이, B1-1F",B1-1F
7,1,종각,내부#1,0000-506,"종로3가 방면6-4, B2-B1",B2-B1
8,1,종각,내부#2,0000-507,"시청 방면4-4, B2-B1",B2-B1
9,1,종각,외부#1,0000-508,"3번 출구 측, B1-1F",B1-1F
10,1,종각,외부#2,0113-945,"1번 출구 측, B1-1F",B1-1F
11,1,종로3가,내부#1,0000-512,"종로5가 방면5-1, B2-B1",B2-B1
12,1,종로3가,내부#2,0000-513,"종각 방면6-4, B2-B1",B2-B1
13,1,종로3가,외부#1,0073-426,"12,13번 출구 사이, B1-1F",B1-1F
14,1,종로5가,내부#1,0000-533,"동대문(1) 방면8-3, B2-B1",B2-B1
15,1,종로5가,내부#2,0000-534,"종로3가 방면3-2, B2-B1",B2-B1
16,1,종로5가,외부#1,0155-440,"8,9번(지하상가) 출구 사이, B1-1F",B1-1F
17,1,동대문,내부#1,0000-906,"동묘앞 방면10-4, B2-B1",B2-B1
18,1,동대문,내부#2,0000-907,"종로5가 방면2-1, B2-B1",B2-B1
19,1,동대문,외부#1,0000-905,"6번 출구 측, B1-1F",B1-1F
20,1,동묘앞,내부#1,0000-946,"신설동 방면6-2, B1-4F",B1-4F
21,1,동묘앞,내부#2,0000-943,"신설동 방면10-3, B2-BM2-B1",B2-BM2-B1
22,1,동묘앞,내부#3,0000-947,"신설동 방면4-8, B2-B1",B2-B1
23,1,동묘앞,내부#4,0000-948,"동대문(1) 방면7-3, B2-B1",B2-B1
24,1,동묘앞,내부#5,0000-944,"동대문(1) 방면1-2, B2-B1",B2-B1
25,1,동묘앞,외부#1,0000-945,"1,10번 출구 사이, B1-BM-1F",B1-BM-1F
26,1,동묘앞,외부#2,0000-960,"3번 출구 측, B1-1F",B1-1F
27,1,신설동,내부#1,0083-762,"제기동 방면3-4, B2-B1",B2-B1
28,1,신설동,내부#2,0083-764,"동묘앞 방면8-1, B2-B1",B2-B1
29,1,신설동,외부#1,0003-532,"1번 출구 측, B1-1F",B1-1F
30,1,신설동,외부#2,0083-761,"2,3번 출구 사이, B1-1F",B1-1F
31,1,신설동,외부#3,0083-763,"4,5번 출구 사이, B1-1F",B1-1F
32,1,제기동,내부#1,0043-600,"청량리 방면9-4, B2-B1",B2-B1
33,1,제기동,내부#2,0027-701,"신설동 방면2-1, B2-B1",B2-B1
34,1,제기동,외부#1,0093-165,"1번 출구 측, B1-1F",B1-1F
35,1,청량리,외부#1,0027-702,"6번 출구 측, B2-1F",B2-1F
37,1,청량리,외부#2,0158-313,"2번 출구 측, B1-1F",B1-1F
37,2,시청,내부#1,0042-520,"충정로 방면6-2, 을지로입구 방면5-3, B3-B1",B3-B1
38,2,시청,외부#1,0002-886,"9번 출구 측, B1-1F",B1-1F
39,2,을지로입구,내부#1,0003-059,"시청 방면5-3, B2-B1",B2-B1
40,2,을지로입구,내부#2,0003-058,"을지로3가 방면6-2, B2-B1",B2-B1
41,2,을지로입구,외부#1,0124-101,"1번 출구 측, B1-1F",B1-1F
42,2,을지로입구,외부#2,0104-712,"5,6번 출구 사이, B1-1F",B1-1F
43,2,을지로3가,내부#1,0042-132,"을지로입구 방면8-3, B2-B1",B2-B1
44,2,을지로3가,내부#2,0042-133,"을지로4가 방면3-2, B2-B1",B2-B1
45,2,을지로4가,내부#1,0042-130,"을지로3가 방면3-2, B2-B1",B2-B1
46,2,을지로4가,내부#2,0042-131,"동대문역사문화공원 방면8-3, B2-B1",B2-B1
47,2,을지로4가,외부#1,0102-390,"8번 출구 측, B1-1F",B1-1F
48,2,동대문역사문화공원,내부#1,0003-055,"을지로4가 방면8-3, B2-B1",B2-B1
49,2,동대문역사문화공원,내부#2,0003-056,"신당 방면3-2, B2-B1",B2-B1
50,2,동대문역사문화공원,외부#1,0039-324,"1번 출구 측, B1-1F",B1-1F
51,2,신당,외부#1,0004-367,"2번 출구 측, B1-1F",B1-1F
52,2,신당,내부#1,0103-796,"동대문역사문화공원 방면3-4, B2-B1",B2-B1
53,2,신당,내부#2,0103-797,"상왕십리 방면7-4, B2-B1",B2-B1
54,2,상왕십리,내부#1,0042-156,"신당 방면8-1, B2-B1",B2-B1
55,2,상왕십리,내부#2,0042-157,"왕십리 방면3-4, B2-B1",B2-B1
56,2,상왕십리,외부#1,0117-183,"1-1번 출구 측, B1-1F",B1-1F
57,2,왕십리,내부#1,0003-466,"상왕십리 방면3-2, B2-B1",B2-B1
58,2,왕십리,내부#2,0068-689,"한양대 방면3-4, B2-B1",B2-B1
59,2,한양대,내부#1,0042-129,"왕십리 방면3-3, 1F-2F",1F-2F
60,2,한양대,외부#1,0042-128,"4번 출구(육교) 측, 1F-2F",1F-2F
61,2,뚝섬,내부#1,0003-051,"한양대 방면7-1, 2F-3F",2F-3F
62,2,뚝섬,내부#2,0003-050,"성수 방면7-1, 2F-3F",2F-3F
63,2,뚝섬,외부#1,0003-049,"3번 출구 측, 1F-2F",1F-2F
64,2,뚝섬,외부#2,0131-787,"6번 출구 측, 1F-2F",1F-2F
65,2,성수,내부#1,0074-865,"뚝섬 방면7-1, 2F-3F",2F-3F
66,2,성수,내부#2,0074-866,"건대입구 방면4-4, 2F-3F",2F-3F
67,2,성수,외부#1,0039-325,"1번 출구 측, 1F-2F",1F-2F
68,2,성수,외부#2,0039-327,"4번 출구 측, 1F-2F",1F-2F
69,2,신답,내부#1,0039-326,"용두 방면2-4, 1F-2F",1F-2F
70,2,신답,내부#2,0104-461,"용답 방면3-2, 1F-2F",1F-2F
71,2,용두,내부#1,0054-021,"신설동 방면4-3, B2-B1",B2-B1
72,2,용두,내부#2,0054-022,"신답 방면1-1, B2-B1",B2-B1
73,2,용두,외부#1,0054-023,"3번 출구 측, B1-1F",B1-1F
74,2,용두,외부#2,0054-024,"4번 출구 측, B1-1F",B1-1F
75,2,신설동,내부#1,0027-703,"신설동 방면4-4, B2-B1",B2-B1
76,2,신설동,외부#1,0044-516,"9번 출구 측, B1-1F",B1-1F
77,2,건대입구,내부#1,0108-564,"성수 방면5-4, 2F-3F",2F-3F
78,2,건대입구,외부#1,0095-448,"구의 방면7-3, 6번 출구 측, 1F-2F-3F",1F-2F-3F
79,2,구의,내부#1,0028-196,"건대입구 방면4-3, 2F-3F",2F-3F
80,2,구의,외부#1,0028-197,"강변 방면7-2, 2번 출구 측, 1F-2F-3F",1F-2F-3F
81,2,강변,내부#1,0093-166,"구의 방면4-2, 1F-2F",1F-2F
82,2,강변,내부#2,0093-167,"잠실나루 방면7-3, 1F-2F",1F-2F
83,2,잠실나루,내부#1,0012-789,"강변 방면3-4, 1F-2F",1F-2F
84,2,잠실나루,내부#2,0012-790,"잠실 방면8-1, 1F-2F",1F-2F
85,2,잠실,내부#1,0007-841,"잠실나루 방면5-2, B2-B1",B2-B1
86,2,잠실,내부#2,0007-842,"잠실새내 방면6-3, B2-B1",B2-B1
87,2,잠실,외부#1,0065-637,"6번 출구 측, B1-1F",B1-1F
88,2,잠실,외부#2,0089-517,"1번 출구 측, B1-1F",B1-1F
89,2,잠실새내,내부#1,0008-945,"잠실방면7-3, B2-B1",B2-B1
90,2,잠실새내,내부#2,0008-946,"종합운동장 방면4-1, B2-B1",B2-B1
91,2,잠실새내,외부#1,0075-476,"7번 출구 측, B1-1F",B1-1F
92,2,잠실새내,외부#2,0008-670,"2번 출구 측, B1-1F",B1-1F
93,2,종합운동장,내부#1,0008-146,"잠실새내 방면2-4, B2-B1",B2-B1
94,2,종합운동장,내부#2,0008-147,"삼성 방면8-4, B2-B1",B2-B1
95,2,종합운동장,외부#1,0008-148,"6번 출구 측, B1-1F",B1-1F
96,2,삼성,내부#1,0007-844,"종합운동장 방면3-1, 선릉 방면8-4, B2-B1",B2-B1
97,2,삼성,외부#1,0007-843,"1번 출구 측, B1-1F",B1-1F
98,2,삼성,외부#2,0014-060,"6번 출구 측, B1-1F",B1-1F
99,2,삼성,외부#3,0075-477,"8번 출구 측, B1-1F",B1-1F
100,2,삼성,외부#4,0105-289,"4번 출구 측, B1-1F",B1-1F
101,2,선릉,외부#1,0066-856,"1번 출구 측, B1-1F",B1-1F
102,2,선릉,외부#2,0105-099,"5번 출구 측, B1-1F",B1-1F
103,2,선릉,외부#3,0072-904,"10번 출구 측, B1-1F",B1-1F
104,2,역삼,내부#1,0075-561,"선릉 방면7-3, B2-B1",B2-B1
105,2,역삼,내부#2,0075-562,"강남 방면4-1, B2-B1",B2-B1
106,2,역삼,외부#1,0065-638,"3번 출구 측, B1-1F",B1-1F
107,2,역삼,외부#2,0075-563,"4번 출구 측, B1-1F",B1-1F
108,2,강남,내부#1,0087-544,"역삼 방면8-1, B2-B1",B2-B1
109,2,강남,내부#2,0087-545,"교대 방면3-4, B2-B1",B2-B1
110,2,강남,외부#1,0087-546,"1번 출구 측, B1-1F",B1-1F
111,2,강남,외부#2,0087-547,"10번 출구 측, B1-1F",B1-1F
112,2,교대,내부#1,0008-151,"강남 방면8-4, B2-B1",B2-B1
113,2,교대,내부#2,0008-152,"서초 방면3-1, B2-B1",B2-B1
114,2,교대,외부#1,0046-583,"5번 출구 측, B1-1F",B1-1F
115,2,서초,내부#1,0008-943,"교대 방면2-4, B2-B1",B2-B1
116,2,서초,내부#2,0008-944,"방배 방면9-1, B2-B1",B2-B1
117,2,서초,외부#1,0075-478,"1번 출구 측, B1-1F",B1-1F
118,2,서초,외부#2,0072-667," 3,4번 출구 측, B1-1F",B1-1F
119,2,방배,내부#1,0008-947,"서초 방면8-3, B2-B1",B2-B1
120,2,방배,내부#2,0008-948,"사당 방면3-1, B2-B1",B2-B1
121,2,방배,외부#1,0046-582,"3번 출구 측, B1-1F",B1-1F
122,2,사당,내부#1,0091-437,"방배 방면4-4, B2-B1",B2-B1
123,2,사당,외부#1,0091-438,"14번 출구 측, B1-1F",B1-1F
124,2,사당,외부#2,0098-381,"6번 출구 측, B1-1F",B1-1F
125,2,낙성대,내부#1,0020-064,"사당 방면8-2, B2-B1",B2-B1
126,2,낙성대,내부#2,0020-065,"서울대입구 방면3-3, B2-B1",B2-B1
127,2,낙성대,외부#1,0020-066,"6번 출구 측, B1-1F",B1-1F
128,2,서울대입구,내부#1,0020-839,"봉천 방면6-2, 낙성대 방면5-3, B2-B1",B2-B1
129,2,서울대입구,외부#1,0110-204,"6번 출구 측, B1-1F",B1-1F
130,2,서울대입구,외부#2,0114-806,"2번 출구 측, B1-1F",B1-1F
131,2,봉천,내부#1,0060-936,"신림 방면4-4, 서울대 방면7-4, B2-B1",B2-B1
132,2,봉천,외부#1,0060-937,"4번 출구 측, B1-1F",B1-1F
133,2,신림,내부#1,0019-759,"신대방 방면2-3, 봉천 방면7-4, B2-B1",B2-B1
134,2,신림,외부#1,0019-760,"1번 출구 측, B1-1F",B1-1F
135,2,신림,외부#2,0092-886,"5번 출구 측, B1-1F",B1-1F
136,2,신대방,내부#1,0020-955,"신림방면 3-4, 2F-3F",2F-3F
137,2,신대방,내부#2,0020-956,"구로디지털단지 방면8-1, 2F-3F",2F-3F
138,2,신대방,외부#1,0020-957,"1번 출구 측, 1F-2F",1F-2F
139,2,구로디지털단지,내부#1,0019-757,"신대방 방면3-4, 1F-2F",1F-2F
140,2,구로디지털단지,내부#2,0019-758,"대림 방면7-4, 2F-3F",2F-3F
141,2,구로디지털단지,외부#1,0019-756,"6번 출구 측, 2F-3F",2F-3F
142,2,구로디지털단지,외부#2,0156-754,"2,3번 출구 사이, 1F-2F",1F-2F
143,2,대림,외부#1,0107-009,"7번 출구 측, 1F-2F",1F-2F
144,2,대림,외부#2,0060-929,"4번 출구 측, 1F-2F",1F-2F
145,2,대림,내부1,0060-928,"구로디지털단지 방면3-2, 2F-3F",2F-3F
146,2,대림,내부2,0060-927,"신도림 방면8-3, 2F-3F",2F-3F
147,2,신도림,내부#1,0085-969,"대림 방면4-4, 문래 방면7-4, B2-B1",B2-B1
148,2,신도림,내부#2,0098-197,"대림 방면3-2, B2-B1",B2-B1
149,2,신도림,외부#1,0109-522,"1번 출구 측, B1-2F",B1-2F
150,2,신도림,외부#2,0098-196,"2번 출구 측, B1-1F",B1-1F
151,2,도림천,내부#1,0022-597,"신도림 방면4-4, B3-B2",B3-B2
152,2,도림천,외부#1,0022-596,"도림천 방면2-4, B3-B1",B3-B1
153,2,양천구청,내부#1,0020-959,"신정네거리 방면4-1, B2-B1",B2-B1
154,2,양천구청,내부#2,0020-960,"도림천 방면3-3, B2-B1",B2-B1
155,2,양천구청,외부#1,0020-958,"1번 출구 측, B1-1F",B1-1F
156,2,신정네거리,내부#1,0060-930,"까치산 방면4-1, B3-B2",B3-B2
157,2,신정네거리,내부#2,0060-931,"양천구청 방면3-4, B3-B2",B3-B2
158,2,신정네거리,외부#1,0060-932,"2번 출구 측, B2-1F",B2-1F
159,2,문래,내부#1,0021-258,"신도림 방면7-4, B2-B1",B2-B1
160,2,문래,내부#2,0021-259,"영등포구청 방면4-1, B2-B1",B2-B1
161,2,문래,외부#1,0107-085,"5번 출구 측, B1-1F",B1-1F
162,2,문래,외부#2,0133-667,"1번 출구 측, B1-1F",B1-1F
163,2,영등포구청,내부#1,0021-255,"문래 방면8-4, B2-B1",B2-B1
164,2,영등포구청,내부#2,0021-256,"당산 방면3-1, B2-B1",B2-B1
165,2,영등포구청,외부#1,0021-254,"2번 출구 측, B1-1F",B1-1F
166,2,영등포구청,외부#2,0157-040,"5번 출구 측, B1-1F",B1-1F
167,2,당산,내부#1,0020-068,"영등포구청 방면8-3, 2F-3F",2F-3F
168,2,당산,내부#2,0020-069,"합정 방면3-2, 2F-3F",2F-3F
169,2,당산,외부#1,0020-067,"4번 출구 측, 1F-2F",1F-2F
170,2,당산,외부#2,0156-907,"3번 출구 측, 1F-2F",1F-2F
171,2,합정,내부#1,0073-427,"당산 방면4-1, B2-B1",B2-B1
172,2,합정,내부#2,0042-092,"홍대입구 방면7-3, B2-B1",B2-B1
173,2,합정,외부#1,0103-758,"1,2번 출구 사이, B1-1F",B1-1F
174,2,합정,외부#2,0073-978,"3,4번 출구 사이, B1-1F",B1-1F
175,2,홍대입구,내부#1,0102-349,"합정 방면7-2, 신촌 방면4-3, B2-B1",B2-B1
176,2,홍대입구,외부#1,0102-350,"8번 출구 측, B1-1F",B1-1F
177,2,신촌,내부#1,0102-373,"홍대입구 방면8-4, B2-B1",B2-B1
178,2,신촌,내부#2,0102-374,"이대 방면4-4, B2-B1",B2-B1
179,2,신촌,외부#1,0039-954,"4번 출구 측, B1-1F",B1-1F
180,2,신촌,외부#2,0127-889,"6번 출구 측, B1-1F",B1-1F
181,2,이대,내부#1,0102-372,"신촌 방면2-2, 아현 방면9-3, B2-B1",B2-B1
182,2,이대,외부#1,0042-093,"6번 출구 측, B1-1F",B1-1F
183,2,이대,외부#2,0152-647,"2번 출구 측, B1-1F",B1-1F
184,2,아현,내부#1,0102-369,"이대 방면7-2, B2-B1",B2-B1
185,2,아현,내부#2,0102-370,"충정로 방면4-3, B2-B1",B2-B1
186,2,아현,외부#1,0042-109,"3번 출구 측, B1-1F",B1-1F
187,2,아현,외부#2,0129-011,"1번 출구 측, B1-1F",B1-1F
188,2,충정로,내부#1,0039-953,"아현 방면2-1, 시청 방면9-4, B3-B2",B3-B2
189,2,충정로,외부#1,0105-868,"5번 출구 측, B2-1F",B2-1F
190,3,지축,내부#1,2040-730,"삼송 방면2-1, 구파발 방면9-4, 1F-2F",1F-2F
191,3,구파발,내부#1,0081-259,"지축 방면5-3, 연신내 방면6-2, B2-B1",B2-B1
192,3,구파발,외부#1,0081-260,"1번 출구 측, B1-1F",B1-1F
193,3,연신내,내부#1,0102-345,"구파발 방면6-1, 불광 방면5-4, B2-B1",B2-B1
194,3,불광,내부#1,0039-994,"연신내 방면3-3, B2-B1",B2-B1
195,3,불광,내부#2,0002-833,"녹번 방면8-2, B2-B1",B2-B1
196,3,불광,외부#1,0102-055,"1번 출구 측, B1-1F",B1-1F
197,3,녹번,내부#1,0102-399,"불광 방면3-1, 홍제 방면8-4, B2-B1",B2-B1
198,3,녹번,외부#1,0080-695,"3번 출구 측, B1-1F",B1-1F
199,3,녹번,외부#2,0127-909,"1번 출구 측, B1-1F",B1-1F
200,3,홍제,내부#1,0102-346,"녹번 방면3-4, 무악재 방면8-1, B3-B2",B3-B2
201,3,홍제,외부#1,0039-995,"4번 출구 측, B2-1F",B2-1F
202,3,홍제,외부#2,0073-438,"1번 출구 측, B1-1F",B1-1F
203,3,무악재,내부#1,0082-061,"홍제 방면3-3, B3-B2",B3-B2
204,3,무악재,내부#2,0082-062,"독립문 방면8-2, B3-B2",B3-B2
205,3,무악재,외부#1,0082-063,"1번 출구 측, B2-1F",B2-1F
206,3,독립문,내부#1,0039-996,"무악재 방면9-1, 경복궁 방면2-4, B3-B2",B3-B2
207,3,독립문,외부#1,0102-347,"4번 출구 측, B2-1F",B2-1F
208,3,경복궁,내부#1,0000-388,"독립문 방면6-2, 안국 방면5-3, B3-B2",B3-B2
209,3,경복궁,외부#1,0000-719,"4번 출구 측, B2-1F",B2-1F
210,3,안국,내부#1,0000-591,"경복궁 방면3-2, 종로3가 방면8-3, B3-B2",B3-B2
211,3,안국,외부#1,0000-592,"6번 출구 측, B2-1F",B2-1F
212,3,종로3가,내부#1,0125-744,"안국 방면4-3, 을지로3가 방면7-1, B4-B2",B4-B2
213,3,종로3가,외부#1,0125-743,"8번 출구 측, B1-1F",B1-1F
214,3,을지로3가,내부#1,0040-427,"종로3가 방면6-3, 충무로 방면5-2, B3-B1",B3-B1
215,3,을지로3가,외부#1,0040-428,"10번 출구 측, B1-1F",B1-1F
216,3,동대입구,내부#1,0003-046,"충무로 방면3-1, 약수 방면8-4, B3-B2",B3-B2
217,3,동대입구,내부#2,0118-605,"대합실(F계단 측), B2-B1",B2-B1
218,3,동대입구,외부#1,0102-299,"6번 출구 측, B2-1F",B2-1F
219,3,약수,내부#1,0102-482,"동대입구 방면8-4, 금호 방면3-1, B2-B1",B2-B1
220,3,약수,외부#1,0073-377,"3번 출구 측, B1-1F",B1-1F
221,3,금호,내부#1,0102-309,"약수 방면3-2, 옥수 방면8-3, B2-B1",B2-B1
222,3,금호,외부#1,0041-329,"2번 출구 측, B1-1F",B1-1F
223,3,금호,외부#2,0145-645,"3번 출구 측, B1-1F",B1-1F
224,3,옥수,내부#1,0074-036,"금호 방면10-1, 2F-3F",2F-3F
225,3,옥수,내부#2,0074-037,"압구정 방면1-2, 2F-3F",2F-3F
226,3,옥수,외부#1,0040-429,"4,5번 출구 측, 1F-2F",1F-2F
227,3,압구정,내부#1,0033-201,"옥수 방면8-2, B2-B1",B2-B1
228,3,압구정,내부#2,0033-202,"신사 방면3-2, B2-B1",B2-B1
229,3,압구정,외부#1,0137-278,"3번 출구 측, B1-1F",B1-1F
230,3,압구정,외부#2,0108-323,"2번 출구 측, B1-1F",B1-1F
231,3,신사,내부#1,0049-398,"압구정 방면3-1, B2-B1",B2-B1
232,3,신사,내부#2,0049-407,"잠원 방면8-3, B2-B1",B2-B1
233,3,신사,외부#1,0099-799,"1번 출구 측, B1-1F",B1-1F
234,3,신사,외부#2,0110-416,"8번 출구 측, B1-1F",B1-1F
235,3,잠원,내부#1,0033-321,"신사 방면3-3, B2-B1",B2-B1
236,3,잠원,내부#2,0035-271,"고속터미널 방면8-2, B2-B1",B2-B1
237,3,잠원,외부#1,0033-320,"1번 출구 측, B1-1F",B1-1F
238,3,고속터미널,내부#1,0033-322,"잠원 방면8-2, B3-B2",B3-B2
239,3,고속터미널,내부#2,0033-323,"교대 방면3-3, B3-B2",B3-B2
240,3,교대,외부#1,0151-807,"13번 출구 측, B1-1F",B1-1F
241,3,교대,내부#1,0035-270,"고속터미널 방면4-2, 남부터미널 방면7-3, B3-B2-B1",B3-B2-B1
242,3,남부터미널,내부#1,0101-445,"교대 방면3-2, B3-B2",B3-B2
243,3,남부터미널,내부#2,0101-446,"양재 방면8-2, B3-B2",B3-B2
244,3,남부터미널,외부#1,0093-684,"5번 출구 측, B2-1F",B2-1F
245,3,양재,내부#1,0099-778,"남부터미널 방면3-1, B2-B1",B2-B1
246,3,양재,내부#2,0099-779,"매봉 방면8-4, B2-B1",B2-B1
247,3,양재,외부#2,0110-414,"4번 출구 측, B1-1F",B1-1F
248,3,양재,외부#1,0099-776,"11번 출구 측, B1-1F",B1-1F
249,3,매봉,내부#1,0033-324,"양재 방면5-4, B2-B1",B2-B1
250,3,매봉,내부#2,0033-325,"도곡 방면6-1, B2-B1",B2-B1
251,3,매봉,외부#1,0035-269,"1번 출구 측, B1-1F",B1-1F
252,3,대치,내부#1,0033-207,"도곡 방면1-1, 학여울 방면10-4, B3-B1",B3-B1
253,3,대치,외부#1,0099-954,"7번 출구 측, B1-1F",B1-1F
254,3,학여울,내부#1,0033-368,"대치 방면5-4, B5-B4",B5-B4
255,3,학여울,내부#2,0033-369,"대청 방면6-1, B5-B4",B5-B4
256,3,학여울,외부#1,0105-142,"1번 출구 측, B4-B2-B1-1F",B4-B2-B1-1F
257,3,대청,내부#1,0035-268,"학여울 방면4-4, B3-B2",B3-B2
258,3,대청,내부#2,0035-267,"일원 방면7-1, B3-B2",B3-B2
259,3,대청,외부#1,0035-266,"8번 출구 측, B2-1F",B2-1F
260,3,일원,내부#1,0035-326,"대청 방면6-3, B3-B2",B3-B2
261,3,일원,내부#2,0035-327,"수서 방면5-2, B3-B2",B3-B2
262,3,일원,외부#2,0125-974,"1번 출구 측, B2-1F",B2-1F
263,3,일원,외부#3,0125-975,"1번 출구 측, B2-1F",B2-1F
264,3,수서,내부#1,0033-206,"일원 방면8-3, B2-B1",B2-B1
265,3,수서,내부#2,0033-205,"가락시장 방면3-2, B2-B1",B2-B1
266,3,수서,외부#1,0033-203,"1번 출구 측, B1-1F",B1-1F
267,3,수서,외부#2,0115-093,"5번 출구 측, B1-1F",B1-1F
268,3,가락시장,내부#1,0100-025,"수서 방면8-2, B4-B3-B2",B4-B3-B2
269,3,가락시장,내부#2,0100-026,"경찰병원 방면3-2, B4-B3-B2",B4-B3-B2
270,3,가락시장,외부#1,0100-027,"7번 출구 측, B2-B1-1F",B2-B1-1F
271,3,경찰병원,내부#1,0099-889,"가락시장 방면4-2, B3-B1",B3-B1
272,3,경찰병원,내부#2,0099-890,"오금 방면 7-3, B3-B1",B3-B1
273,3,경찰병원,외부#1,0099-887,"1번 출구 측, B1-1F",B1-1F
274,3,경찰병원,외부#2,0099-888,"3번 출구 측, B1-1F",B1-1F
275,3,오금,내부#1,0099-955,"경찰병원 방면5-1, B4-B3-B1",B4-B3-B1
276,3,오금,내부#2,0099-956,"오금 방면6-4, B4-B3-B1",B4-B3-B1
277,3,오금,외부#1,0099-957,"1번 출구 측, B1-1F",B1-1F
278,4,당고개,내부#1,0085-251,"별내별가람 방면6-1, 2F-3F",2F-3F
279,4,당고개,내부#2,0085-252,"상계 방면5-4, 2F-3F",2F-3F
280,4,당고개,외부#1,0085-253,"1번 출구 측, 1F-2F",1F-2F
281,4,상계,외부#1,0085-254,"대합실(1,2번 출구 사이), 1F-2F",1F-2F
282,4,노원,내부#1,0085-261,"상계 방면8-4, 2F-3F",2F-3F
283,4,노원,내부#2,0085-262,"창동 방면3-1, 2F-3F",2F-3F
284,4,노원,외부#1,0095-391,"2번 출구 측, 1F-2F",1F-2F
285,4,노원,외부#2,0086-473,"9번 출구 측, 1F-2F",1F-2F
286,4,창동,내부#1,0125-524,"노원 방면2-4, 2F-3F",2F-3F
287,4,창동,내부#2,0125-527,"노원 방면8-2, 2F-3F",2F-3F
288,4,창동,내부#3,0125-526,"쌍문 방면8-4, 2F-3F",2F-3F
289,4,창동,내부#4,0125-525,"쌍문 방면3-2, 2F-3F",2F-3F
290,4,창동,외부#1,0028-004,"1번 출구 측, 1F-2F",1F-2F
291,4,창동,외부#2,0028-005,"2번 출구 측, 1F-2F",1F-2F
292,4,쌍문,내부#1,0085-219,"창동 방면8-2, B2-B1",B2-B1
293,4,쌍문,내부#2,0085-220,"수유 방면3-4, B2-B1",B2-B1
294,4,쌍문,외부#1,0028-002,"1번 출구 측, B1-1F",B1-1F
