지하철역ID,역명,호선,엘리베이터유무,휘체어리프트유무,유아수유방유무,운임_비운임지역
2819,문정,8,Y,N,0,
2820,장지,8,Y,N,1,비운임
2821,복정,8,Y,Y,0,
2822,산성,8,Y,N,0,
2823,남한산성입구,8,Y,N,1,운임
2824,단대오거리,8,Y,N,0,
2825,신흥,8,Y,N,0,
2826,수진,8,Y,N,0,
2827,모란,8,Y,Y,1,운임
2828,남위례,8,Y,N,1,비운임
4126,언주,9,Y,N,1,
4127,선정릉,9,Y,N,0,
4128,삼성중앙,9,Y,N,1,
4129,봉은사,9,Y,N,1,
4130,종합운동장,9,Y,N,1,
4131,삼전,9,Y,N,1,
4132,석촌고분,9,Y,N,1,
4133,석촌,9,Y,N,1,
4134,송파나루,9,Y,N,1,
4135,한성백제,9,Y,N,1,
4136,올림픽공원,9,Y,N,1,
4137,둔촌오륜,9,Y,N,1,
4138,중앙보훈병원,9,Y,N,1,
